Course,Title,Author
Econ101,Micro Econ,Robert Gateman
EECE 202,Using the MC5-51 Microcontroller,Huang
EECE 251/253,Fundamentals of Electric Circuits,"Alexander, Sadiku"
EECE 254,Microelectronic Circuits,Sedra/Smith
EECE 259,Using the MCS-51 Microcrontroller,Huang
EECE 432,Introduction to Biomems,Folch
ENG,Hamlet,Shakespeare
ENG,Hamlet,Shakespeare
ENG 110,Arcadia,Stoppard
ENG 110,Crisp,Gray
ENG 110,Sturdy Oak,Jordan
ENG 110,Cloud Atlas + Cloud Atlas (2 copies of the same book),Mitchell
ENG 110,Arcadia,Stoppard
ENG 112,The Broadview Pocket Guide to Writing,"Babington, LePan, and Okun"
ENG 112,The Broadview Anthology of Expository Prose,Buzzard
ENG 112,Reading the Wrold - idead that matter,micheal Austin
ENG 221,A Longman Anthology British Literature: The Romantics and their Contemporaries,"Wolfson, and Manning"
ENG 221,England Away,King
ENG 221,Conundrum,Morris
ENG 221,A Longman Anthology British Literature Volume 2C The 20th Century and Beyond,Dettmar
ENG 227,Prose Fiction,"Duffy, Robert"
ENG 227,All that Matters,"Wayson, Choy"
ENG 230A,The Complete Aeschylus Volume I: The Orestia,"Burian, Shapiro (ed.)"
ENGL,The Clear Path A Guide to Writing English Essays,Rooke
ENGL,Chorus of Mushrooms,Goto
ENGL 110,Pride and Prejudice,Austen
ENGL 110,Hamlet,Shakespeare
ENGL 110,Frankstein,Shelley
ENGL 110,Bartleby the Scrivener,Melville
ENGL 110,Pride and Prejudice,Austen
ENGL 110,Gilead A Novel,Robinson
ENGL 110,Remembering Babylon,Malay
ENGL 110,Ariel's Ghost,Ombatje*
ENGL 112,From Critical Thinking to Argument,Barnet
ENGL 112,The Empowered Writer,Eric Henderson
ENGL 112,Academic Reading,Giltrow
ENGL 120,Wide Sargasso Sea,Jean Rhys
ENGL 220,Anthony and Cleopatra,Shakespeare
ENGL 221,The Longman Anthology British Literature (Vol 2B),n/a
ENGL 221,Wuthering Heights,Bronte
ENGL 260,The Norton Anthology of English Literature,n/a
EOSC 118,Rock and Gem,Smithsonian
FILM,Film,Pramaggiore and Wallis
FILM,Film in Canada,Leach
FMST,Lifespan Development,"Boyd, Bee, Johnson"
FNH,Nutrition A Functional Approach,Thompson
FNH,Nutrition A Functional Approach,Thompson
FNH 250,Nutrition A Functional Approach,Thompson
FREN 101/102,Entre Amis An Interative Approach Vol 1,"Oates, Oukada"
FREN 101+102,Entre Amis,Oates
FREN 111,French Dictionary + Text Audio CD + Interaction: Language et Culture,St. Onge and St. Onge
FREN 111/112,Interaction Langue et Culture,Onge
GEOB 270,An Introduction to Geographical Information Systems,Heywood
GEOB 302,Meteorology Today,Ahrens
GEOB 372,A Gentle Introduction to Stata,Acock
GEOG 102,Physical Geography,Strahler
GEOG 121,Custom Course Package,Evenden
GEOG 122,"Geography, Modernity, & Globalization",n/a
GEOG 122,"Geography, Modernity & Globalization II",n/a
GEOG 122,"Geography, Modernity & Globalization II",
GERM 100,Treffpunkt: Deutsch,"Widmzier, Ganglewski"
GERM 100/110,Pkg. Treffunkt Deutsch,Widmaier
HIST 103,something new under the sun (an environmental history of the twentieth-century world,J.R.McNeill
HIST 103,Revolutions and Revolutionary Movements,Defronzo
HIST 103,An Environmental History of the 20th Century World: Something New Under the Sun,McNeill
HIST 103,Global Capitalism,Frieden
HIST 103,Revolutions and Revolutionary Movements,Defronzo
HIST 103,Goodbye to All that,Graves
HIST 103,The Lost World,Doyle
HIST 103,Transforming Russia & China Revolutionary Struggle in the Twentieth Century,"Rosenberg, Young"
HIST 103,Migration and Disaspora in Modern Asia,Amrith
HIST 103,Taking Power on the Origins of Third World Revolutions,Foran
HIST 103,Century of War,Kolko
HIST 104,Ways of the World A Brief Global History,Strayer
HIST 105,Living the Educe,George
HIST 105,The Indigenous Experience Global Perspectives,Maaka
HIST 105,Breaking Ground,Mapes
HIST 105,Children of the Sun,Crosby
HIST 235,Interpreting Canada's Past,Oxford
HIST 235,A History of the Canadian Peoples,Bumsted
HIST 235,Interpreting Canada’s Past,"Bumsted, Kuffert, Ducharme"
HIST 338,Major Problems in American History 1920 - 1945,Gordon
HIST 338,major Problems in the Gilded Age and the Progressive Era,Fink
HIST 369,Europe in the era of 2 World Wars,Bergham
HIST 369,Between Two Fires,David
HIST 369,Back to the Front,O'Shezi
HIST 425,War: In Human Civilization,Gat
HIST 460,Revolutions and Revolutionary Movements,Defronzo
IGEN 201,Techanical Communication A Practical Approach,Pfeiffer
IGEN 201,Technical Communication: A Practical Approach,Pfeiffer
KIN,Client-Centered Exercise Prescription,Griffin
KIN 261,Second Opinion: An Introduction to Health Sociology,"Germov, Hornosty"
KIN 261,Second Opinion: An Introduction to Health Sociology,"Germov, Hornosty"
KIN 284,Lifelong Motor Development,Gabbard
KIN 473,Neuroanatomy through Clinical Cases,Blunenfeld
LING 209,Communication and Communication Disorders,Plante
MATH 100/101,Calculus Early Transcendentals Single Variable,Stewart
MATH 100/101/180/263,Calculus Early Trascendentals (with Multivariable Solution Manual),Stewart
MATH 100/101/255,Calculus Early Transcendentals,Stewart
MATH 101,Calculus Early Transcendentals,Briggs
MATH 101,Student's Solutions Manual: Single Variable Calculus,Briggs
MATH 102,Math 102 Problems & Course Notes,n/a
MATH 103,Math 103 Problems & Course Notes,n/a
MATH 104,Calculus Early Transcendental Ed. 6,James Stewart
MATH 104/105/184,Calculus & Its Applications,Goldstein
MATH 104/184,Prep 101 Booklet,n/a
MATH 104/184,Calculus & Its Applications,Goldstein
MATH 220,Mathematical Proof,Chartrand
MATH 221,Linear Algebra (study guide),"Lay, McDonald"
MATH 302,Fundamentals of Probability,Ghahramani
MATH 303,Introduction to Probability Models,Ross
MECH 24,A brief introduction to Circuit analysis,Irwin
MECH 260,Mechanics of Materials,Philpot
MECH 280,Fluid Mechanics,"Cengel, Cimbala"
MICB 202,Microbiology 202 Introductory Medical Microbiology & Immunology 2012W and 2012S,n/a
MUSIC,Retromania,Reynolds
PHIL 101/102,The Philosopher's Way,Chaffee
PHIL 220,Language Proof and Logic,"Barwise, Etchemendy"
PHYS 100,College Physics,n/a
PHYS 100,College Physics,ubc
PHYS 100,College Physics,UBC
PHYS 100/101/102,Physics A Strategic Approach (All Volumes),Knight
PHYS 100/101/102,Physics: A Strategic Approachf,Knight
PHYS 100/101/102,Student Workbook: Physics: A Strategic Approach,Knight
PHYS 100/101/102,Student Workbook: Physics: A Strategic Approach,Knight
PHYS 100/101/102,Student Workbook: Physics: A Strategic Approach,Knight
PHYS 101,Physics For Scientists and Engineers,Pearson
PHYS 101,Physics For Scientists and Engineers (Student Workbook),Pearson
PHYS 101,Physics A Strategic Approach (Student Workbook),Pearson
PHYS 101,Physics for Scientists and Engineers (Vol 1 & Student Manual),knights
PHYS 101,Student Workbook,Knight
PHYS 101,Physics for Engineers and Scientists,
